neuron_id,condition,cell_line,drug,well,tile,stimulation,original_hdf5,num_timepoints,timepoint,timepoint_idx,rfp1_path,halo_path,label_stimulation,label_cell_line,label_timepoint,label_stim_time,label_cell_time,label_cell_stim,label_all,label_6class,class_label
C23_tile4_n205,APPV717I,APPV717I,DMSO,C23,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_4_205.h5,16,T0,0,images/RFP1/C23_tile4_n205_T0.png,images/Halo/C23_tile4_n205_T0.png,0ms,APPV717I,T0,0ms_T0,APPV717I_T0,APPV717I_0ms,APPV717I_0ms_T0,APPV717I_T0,APPV717I_T0
C23_tile4_n205,APPV717I,APPV717I,DMSO,C23,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_4_205.h5,16,T16,15,images/RFP1/C23_tile4_n205_T15.png,images/Halo/C23_tile4_n205_T15.png,0ms,APPV717I,T16,0ms_T16,APPV717I_T16,APPV717I_0ms,APPV717I_0ms_T16,APPV717I_0ms_T16,APPV717I_0ms_T16
C23_tile3_n339,APPV717I,APPV717I,DMSO,C23,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_3_339.h5,16,T0,0,images/RFP1/C23_tile3_n339_T0.png,images/Halo/C23_tile3_n339_T0.png,10000ms,APPV717I,T0,10000ms_T0,APPV717I_T0,APPV717I_10000ms,APPV717I_10000ms_T0,APPV717I_T0,APPV717I_T0
C23_tile3_n339,APPV717I,APPV717I,DMSO,C23,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_3_339.h5,16,T16,15,images/RFP1/C23_tile3_n339_T15.png,images/Halo/C23_tile3_n339_T15.png,10000ms,APPV717I,T16,10000ms_T16,APPV717I_T16,APPV717I_10000ms,APPV717I_10000ms_T16,APPV717I_10000ms_T16,APPV717I_10000ms_T16
C23_tile2_n95,APPV717I,APPV717I,DMSO,C23,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_2_95.h5,16,T0,0,images/RFP1/C23_tile2_n95_T0.png,images/Halo/C23_tile2_n95_T0.png,10000ms,APPV717I,T0,10000ms_T0,APPV717I_T0,APPV717I_10000ms,APPV717I_10000ms_T0,APPV717I_T0,APPV717I_T0
C23_tile2_n95,APPV717I,APPV717I,DMSO,C23,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_2_95.h5,16,T16,15,images/RFP1/C23_tile2_n95_T15.png,images/Halo/C23_tile2_n95_T15.png,10000ms,APPV717I,T16,10000ms_T16,APPV717I_T16,APPV717I_10000ms,APPV717I_10000ms_T16,APPV717I_10000ms_T16,APPV717I_10000ms_T16
C23_tile4_n284,APPV717I,APPV717I,DMSO,C23,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_4_284.h5,16,T0,0,images/RFP1/C23_tile4_n284_T0.png,images/Halo/C23_tile4_n284_T0.png,0ms,APPV717I,T0,0ms_T0,APPV717I_T0,APPV717I_0ms,APPV717I_0ms_T0,APPV717I_T0,APPV717I_T0
C23_tile4_n284,APPV717I,APPV717I,DMSO,C23,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_4_284.h5,16,T16,15,images/RFP1/C23_tile4_n284_T15.png,images/Halo/C23_tile4_n284_T15.png,0ms,APPV717I,T16,0ms_T16,APPV717I_T16,APPV717I_0ms,APPV717I_0ms_T16,APPV717I_0ms_T16,APPV717I_0ms_T16
C23_tile3_n30,APPV717I,APPV717I,DMSO,C23,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_3_30.h5,16,T0,0,images/RFP1/C23_tile3_n30_T0.png,images/Halo/C23_tile3_n30_T0.png,10000ms,APPV717I,T0,10000ms_T0,APPV717I_T0,APPV717I_10000ms,APPV717I_10000ms_T0,APPV717I_T0,APPV717I_T0
C23_tile3_n30,APPV717I,APPV717I,DMSO,C23,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_3_30.h5,16,T16,15,images/RFP1/C23_tile3_n30_T15.png,images/Halo/C23_tile3_n30_T15.png,10000ms,APPV717I,T16,10000ms_T16,APPV717I_T16,APPV717I_10000ms,APPV717I_10000ms_T16,APPV717I_10000ms_T16,APPV717I_10000ms_T16
C23_tile3_n303,APPV717I,APPV717I,DMSO,C23,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_3_303.h5,16,T0,0,images/RFP1/C23_tile3_n303_T0.png,images/Halo/C23_tile3_n303_T0.png,10000ms,APPV717I,T0,10000ms_T0,APPV717I_T0,APPV717I_10000ms,APPV717I_10000ms_T0,APPV717I_T0,APPV717I_T0
C23_tile3_n303,APPV717I,APPV717I,DMSO,C23,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_3_303.h5,16,T16,15,images/RFP1/C23_tile3_n303_T15.png,images/Halo/C23_tile3_n303_T15.png,10000ms,APPV717I,T16,10000ms_T16,APPV717I_T16,APPV717I_10000ms,APPV717I_10000ms_T16,APPV717I_10000ms_T16,APPV717I_10000ms_T16
C23_tile1_n9,APPV717I,APPV717I,DMSO,C23,1,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_1_9.h5,16,T0,0,images/RFP1/C23_tile1_n9_T0.png,images/Halo/C23_tile1_n9_T0.png,0ms,APPV717I,T0,0ms_T0,APPV717I_T0,APPV717I_0ms,APPV717I_0ms_T0,APPV717I_T0,APPV717I_T0
C23_tile1_n9,APPV717I,APPV717I,DMSO,C23,1,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_1_9.h5,16,T16,15,images/RFP1/C23_tile1_n9_T15.png,images/Halo/C23_tile1_n9_T15.png,0ms,APPV717I,T16,0ms_T16,APPV717I_T16,APPV717I_0ms,APPV717I_0ms_T16,APPV717I_0ms_T16,APPV717I_0ms_T16
C23_tile1_n985,APPV717I,APPV717I,DMSO,C23,1,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_1_985.h5,16,T0,0,images/RFP1/C23_tile1_n985_T0.png,images/Halo/C23_tile1_n985_T0.png,0ms,APPV717I,T0,0ms_T0,APPV717I_T0,APPV717I_0ms,APPV717I_0ms_T0,APPV717I_T0,APPV717I_T0
C23_tile1_n985,APPV717I,APPV717I,DMSO,C23,1,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_1_985.h5,16,T16,15,images/RFP1/C23_tile1_n985_T15.png,images/Halo/C23_tile1_n985_T15.png,0ms,APPV717I,T16,0ms_T16,APPV717I_T16,APPV717I_0ms,APPV717I_0ms_T16,APPV717I_0ms_T16,APPV717I_0ms_T16
C23_tile2_n258,APPV717I,APPV717I,DMSO,C23,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_2_258.h5,16,T0,0,images/RFP1/C23_tile2_n258_T0.png,images/Halo/C23_tile2_n258_T0.png,10000ms,APPV717I,T0,10000ms_T0,APPV717I_T0,APPV717I_10000ms,APPV717I_10000ms_T0,APPV717I_T0,APPV717I_T0
C23_tile2_n258,APPV717I,APPV717I,DMSO,C23,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_2_258.h5,16,T16,15,images/RFP1/C23_tile2_n258_T15.png,images/Halo/C23_tile2_n258_T15.png,10000ms,APPV717I,T16,10000ms_T16,APPV717I_T16,APPV717I_10000ms,APPV717I_10000ms_T16,APPV717I_10000ms_T16,APPV717I_10000ms_T16
C23_tile3_n371,APPV717I,APPV717I,DMSO,C23,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_3_371.h5,16,T0,0,images/RFP1/C23_tile3_n371_T0.png,images/Halo/C23_tile3_n371_T0.png,10000ms,APPV717I,T0,10000ms_T0,APPV717I_T0,APPV717I_10000ms,APPV717I_10000ms_T0,APPV717I_T0,APPV717I_T0
C23_tile3_n371,APPV717I,APPV717I,DMSO,C23,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_3_371.h5,16,T16,15,images/RFP1/C23_tile3_n371_T15.png,images/Halo/C23_tile3_n371_T15.png,10000ms,APPV717I,T16,10000ms_T16,APPV717I_T16,APPV717I_10000ms,APPV717I_10000ms_T16,APPV717I_10000ms_T16,APPV717I_10000ms_T16
C23_tile3_n260,APPV717I,APPV717I,DMSO,C23,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_3_260.h5,16,T0,0,images/RFP1/C23_tile3_n260_T0.png,images/Halo/C23_tile3_n260_T0.png,10000ms,APPV717I,T0,10000ms_T0,APPV717I_T0,APPV717I_10000ms,APPV717I_10000ms_T0,APPV717I_T0,APPV717I_T0
C23_tile3_n260,APPV717I,APPV717I,DMSO,C23,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_3_260.h5,16,T16,15,images/RFP1/C23_tile3_n260_T15.png,images/Halo/C23_tile3_n260_T15.png,10000ms,APPV717I,T16,10000ms_T16,APPV717I_T16,APPV717I_10000ms,APPV717I_10000ms_T16,APPV717I_10000ms_T16,APPV717I_10000ms_T16
C23_tile3_n3,APPV717I,APPV717I,DMSO,C23,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_3_3.h5,16,T0,0,images/RFP1/C23_tile3_n3_T0.png,images/Halo/C23_tile3_n3_T0.png,10000ms,APPV717I,T0,10000ms_T0,APPV717I_T0,APPV717I_10000ms,APPV717I_10000ms_T0,APPV717I_T0,APPV717I_T0
C23_tile3_n3,APPV717I,APPV717I,DMSO,C23,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_3_3.h5,16,T16,15,images/RFP1/C23_tile3_n3_T15.png,images/Halo/C23_tile3_n3_T15.png,10000ms,APPV717I,T16,10000ms_T16,APPV717I_T16,APPV717I_10000ms,APPV717I_10000ms_T16,APPV717I_10000ms_T16,APPV717I_10000ms_T16
C23_tile1_n21,APPV717I,APPV717I,DMSO,C23,1,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_1_21.h5,16,T0,0,images/RFP1/C23_tile1_n21_T0.png,images/Halo/C23_tile1_n21_T0.png,0ms,APPV717I,T0,0ms_T0,APPV717I_T0,APPV717I_0ms,APPV717I_0ms_T0,APPV717I_T0,APPV717I_T0
C23_tile1_n21,APPV717I,APPV717I,DMSO,C23,1,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_1_21.h5,16,T16,15,images/RFP1/C23_tile1_n21_T15.png,images/Halo/C23_tile1_n21_T15.png,0ms,APPV717I,T16,0ms_T16,APPV717I_T16,APPV717I_0ms,APPV717I_0ms_T16,APPV717I_0ms_T16,APPV717I_0ms_T16
C23_tile2_n74,APPV717I,APPV717I,DMSO,C23,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_2_74.h5,16,T0,0,images/RFP1/C23_tile2_n74_T0.png,images/Halo/C23_tile2_n74_T0.png,10000ms,APPV717I,T0,10000ms_T0,APPV717I_T0,APPV717I_10000ms,APPV717I_10000ms_T0,APPV717I_T0,APPV717I_T0
C23_tile2_n74,APPV717I,APPV717I,DMSO,C23,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_2_74.h5,16,T16,15,images/RFP1/C23_tile2_n74_T15.png,images/Halo/C23_tile2_n74_T15.png,10000ms,APPV717I,T16,10000ms_T16,APPV717I_T16,APPV717I_10000ms,APPV717I_10000ms_T16,APPV717I_10000ms_T16,APPV717I_10000ms_T16
C23_tile3_n290,APPV717I,APPV717I,DMSO,C23,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_3_290.h5,16,T0,0,images/RFP1/C23_tile3_n290_T0.png,images/Halo/C23_tile3_n290_T0.png,10000ms,APPV717I,T0,10000ms_T0,APPV717I_T0,APPV717I_10000ms,APPV717I_10000ms_T0,APPV717I_T0,APPV717I_T0
C23_tile3_n290,APPV717I,APPV717I,DMSO,C23,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_3_290.h5,16,T16,15,images/RFP1/C23_tile3_n290_T15.png,images/Halo/C23_tile3_n290_T15.png,10000ms,APPV717I,T16,10000ms_T16,APPV717I_T16,APPV717I_10000ms,APPV717I_10000ms_T16,APPV717I_10000ms_T16,APPV717I_10000ms_T16
C23_tile4_n235,APPV717I,APPV717I,DMSO,C23,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_4_235.h5,16,T0,0,images/RFP1/C23_tile4_n235_T0.png,images/Halo/C23_tile4_n235_T0.png,0ms,APPV717I,T0,0ms_T0,APPV717I_T0,APPV717I_0ms,APPV717I_0ms_T0,APPV717I_T0,APPV717I_T0
C23_tile4_n235,APPV717I,APPV717I,DMSO,C23,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_4_235.h5,16,T16,15,images/RFP1/C23_tile4_n235_T15.png,images/Halo/C23_tile4_n235_T15.png,0ms,APPV717I,T16,0ms_T16,APPV717I_T16,APPV717I_0ms,APPV717I_0ms_T16,APPV717I_0ms_T16,APPV717I_0ms_T16
C23_tile3_n219,APPV717I,APPV717I,DMSO,C23,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_3_219.h5,16,T0,0,images/RFP1/C23_tile3_n219_T0.png,images/Halo/C23_tile3_n219_T0.png,10000ms,APPV717I,T0,10000ms_T0,APPV717I_T0,APPV717I_10000ms,APPV717I_10000ms_T0,APPV717I_T0,APPV717I_T0
C23_tile3_n219,APPV717I,APPV717I,DMSO,C23,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_3_219.h5,16,T16,15,images/RFP1/C23_tile3_n219_T15.png,images/Halo/C23_tile3_n219_T15.png,10000ms,APPV717I,T16,10000ms_T16,APPV717I_T16,APPV717I_10000ms,APPV717I_10000ms_T16,APPV717I_10000ms_T16,APPV717I_10000ms_T16
C23_tile4_n247,APPV717I,APPV717I,DMSO,C23,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_4_247.h5,16,T0,0,images/RFP1/C23_tile4_n247_T0.png,images/Halo/C23_tile4_n247_T0.png,0ms,APPV717I,T0,0ms_T0,APPV717I_T0,APPV717I_0ms,APPV717I_0ms_T0,APPV717I_T0,APPV717I_T0
C23_tile4_n247,APPV717I,APPV717I,DMSO,C23,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_4_247.h5,16,T16,15,images/RFP1/C23_tile4_n247_T15.png,images/Halo/C23_tile4_n247_T15.png,0ms,APPV717I,T16,0ms_T16,APPV717I_T16,APPV717I_0ms,APPV717I_0ms_T16,APPV717I_0ms_T16,APPV717I_0ms_T16
C23_tile4_n365,APPV717I,APPV717I,DMSO,C23,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_4_365.h5,16,T0,0,images/RFP1/C23_tile4_n365_T0.png,images/Halo/C23_tile4_n365_T0.png,0ms,APPV717I,T0,0ms_T0,APPV717I_T0,APPV717I_0ms,APPV717I_0ms_T0,APPV717I_T0,APPV717I_T0
C23_tile4_n365,APPV717I,APPV717I,DMSO,C23,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_4_365.h5,16,T16,15,images/RFP1/C23_tile4_n365_T15.png,images/Halo/C23_tile4_n365_T15.png,0ms,APPV717I,T16,0ms_T16,APPV717I_T16,APPV717I_0ms,APPV717I_0ms_T16,APPV717I_0ms_T16,APPV717I_0ms_T16
C23_tile4_n20,APPV717I,APPV717I,DMSO,C23,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_4_20.h5,16,T0,0,images/RFP1/C23_tile4_n20_T0.png,images/Halo/C23_tile4_n20_T0.png,0ms,APPV717I,T0,0ms_T0,APPV717I_T0,APPV717I_0ms,APPV717I_0ms_T0,APPV717I_T0,APPV717I_T0
C23_tile4_n20,APPV717I,APPV717I,DMSO,C23,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_4_20.h5,16,T16,15,images/RFP1/C23_tile4_n20_T15.png,images/Halo/C23_tile4_n20_T15.png,0ms,APPV717I,T16,0ms_T16,APPV717I_T16,APPV717I_0ms,APPV717I_0ms_T16,APPV717I_0ms_T16,APPV717I_0ms_T16
C23_tile4_n97,APPV717I,APPV717I,DMSO,C23,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_4_97.h5,16,T0,0,images/RFP1/C23_tile4_n97_T0.png,images/Halo/C23_tile4_n97_T0.png,0ms,APPV717I,T0,0ms_T0,APPV717I_T0,APPV717I_0ms,APPV717I_0ms_T0,APPV717I_T0,APPV717I_T0
C23_tile4_n97,APPV717I,APPV717I,DMSO,C23,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_4_97.h5,16,T16,15,images/RFP1/C23_tile4_n97_T15.png,images/Halo/C23_tile4_n97_T15.png,0ms,APPV717I,T16,0ms_T16,APPV717I_T16,APPV717I_0ms,APPV717I_0ms_T16,APPV717I_0ms_T16,APPV717I_0ms_T16
C23_tile2_n42,APPV717I,APPV717I,DMSO,C23,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_2_42.h5,16,T0,0,images/RFP1/C23_tile2_n42_T0.png,images/Halo/C23_tile2_n42_T0.png,10000ms,APPV717I,T0,10000ms_T0,APPV717I_T0,APPV717I_10000ms,APPV717I_10000ms_T0,APPV717I_T0,APPV717I_T0
C23_tile2_n42,APPV717I,APPV717I,DMSO,C23,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_2_42.h5,16,T16,15,images/RFP1/C23_tile2_n42_T15.png,images/Halo/C23_tile2_n42_T15.png,10000ms,APPV717I,T16,10000ms_T16,APPV717I_T16,APPV717I_10000ms,APPV717I_10000ms_T16,APPV717I_10000ms_T16,APPV717I_10000ms_T16
C23_tile4_n291,APPV717I,APPV717I,DMSO,C23,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_4_291.h5,16,T0,0,images/RFP1/C23_tile4_n291_T0.png,images/Halo/C23_tile4_n291_T0.png,0ms,APPV717I,T0,0ms_T0,APPV717I_T0,APPV717I_0ms,APPV717I_0ms_T0,APPV717I_T0,APPV717I_T0
C23_tile4_n291,APPV717I,APPV717I,DMSO,C23,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/C23/A2screenPlate2_C23_4_291.h5,16,T16,15,images/RFP1/C23_tile4_n291_T15.png,images/Halo/C23_tile4_n291_T15.png,0ms,APPV717I,T16,0ms_T16,APPV717I_T16,APPV717I_0ms,APPV717I_0ms_T16,APPV717I_0ms_T16,APPV717I_0ms_T16
